,id,team_id,match_id,summoner_id,match_timestamp,queue,kills,deaths,assists,double_kills,triple_kills,quadra_kills,penta_kills,sight_wards_bought_in_game,vision_wards_bought_in_game,wards_placed,wards_killed,total_damage_taken,true_damage_taken,magic_damage_taken,physical_damage_taken,total_damage_dealt,true_damage_dealt,magic_damage_dealt,physical_damage_dealt,total_time_crowd_control_dealt,total_damage_dealt_to_champions,true_damage_dealt_to_champions,magic_damage_dealt_to_champions,physical_damage_dealt_to_champions,gold_earned,gold_spent,minions_killed,tower_kills,inhibitor_kills,first_blood_kill,first_blood_assist,first_tower_kill,first_tower_assist,first_inhibitor_kill,first_inhibitor_assist,champion_id,lane,role,winner,team_first_blood,team_first_tower,team_first_inhibitor,team_first_dragon,team_first_baron,team_tower_kills,team_inhibitor_kills,team_dragon_kills,team_baron_kills,tm0,tm1,tm2,tm3,tm4,rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,failingtm,passingtm,tm00,tm01,tm02,tm03,longavg,bool,sum_games_by_id,is_first_game,milliseconds_in_game,days_in_game,workdays_in_game_8hrs,first_game_timestamp,first_game_timestamp_by_id,milliseconds_since_first_game,days_since_first_game,workdays_since_first_game_8hrs,pct_days_in_game,tm00count,tm01count,tm02count,tm03count,tm00famcount,tm01famcount,tm02famcount,tm03famcount,alltmfamcount,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f00,f01,f02,f000,f001,top,jungle,mid,bot_carry,bot_support,sum_games_for_lag,min_lag_range_three_month,games_to_remove_three_month,three_month_sumgames,f_to_remove_three_month,three_month_fcount,kda
2123,30b8c752f347679d580e27ad438b84fc,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386726584,26243614,1400468472877,RANKED_SOLO_5x5,3,6,3,0,0,0,0,1,0,15,1,24708,2288,12421,9998,15987,4196,8031,3759,1439,7466,815,6031,618,5898,4885,32,0,0,0,0,0,0,0,0,201,BOTTOM,DUO_SUPPORT,0,0,0,0,1,0,1,0,1,0,24653350,25185374,20037104,25004740,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,24653350,25185374,20037104,25004740,1,1,11,0,22440000,0.2597222222,0.7791666667,0,1399686578121,781894756,9.0497078241,27.1491234722,0.0286995146,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,11,-7107334244,,,,,1
9815,e0b29de4f985c5934019bd938a5fa2e3,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386765226,26243614,1400470528157,RANKED_SOLO_5x5,8,9,26,0,0,0,0,2,0,2,2,42878,4256,13596,25025,219753,22693,25328,171731,987,23414,2456,2060,18897,18401,16308,106,1,0,0,0,0,0,0,0,59,JUNGLE,NONE,1,1,1,1,1,1,10,4,3,1,21215342,29279320,21213939,26243614,19301693,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,21215342,29279320,21213939,19301693,1,1,12,0,24480000,0.2833333333,0.85,0,1399686578121,783950036,9.073495787,27.2204873611,0.0312264798,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,12,-7105278964,,,,,3.7777777778
8748,c98f84179c41b963bea77806ad67d321,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386806028,26243614,1400473553737,RANKED_SOLO_5x5,6,9,17,0,0,0,0,0,0,9,2,42312,2633,15156,24522,232831,19588,187563,25679,268,19714,766,16536,2412,15171,18430,98,0,0,0,0,0,0,0,0,32,JUNGLE,NONE,0,1,1,0,1,1,3,0,2,1,40574848,21047917,29365108,26243614,26219280,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,40574848,21047917,29365108,26219280,1,1,13,0,26520000,0.3069444444,0.9208333333,0,1399686578121,786975616,9.1085140741,27.3255422222,0.0336986299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,13,-7102253384,,,,,2.5555555556
8861,cc2dd299351b06881f390fd395844da4,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386865574,26243614,1400476850906,RANKED_SOLO_5x5,4,0,8,0,0,0,0,2,0,6,3,14142,0,2511,11631,17038,4381,5462,7195,112,4697,921,1962,1813,7336,7010,35,0,0,0,0,0,0,0,1,12,BOTTOM,DUO_SUPPORT,1,1,1,1,1,0,10,1,1,0,49809117,21104950,49070264,26243614,20040257,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,3,4210,49809117,21104950,49070264,20040257,1,1,14,0,28560000,0.3305555556,0.9916666667,0,1399686578121,790272785,9.1466757523,27.4400272569,0.0361394199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,14,-7098956215,,,,,12
7658,af9ec3f474fd1e98b1a3fec43786bcea,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1386913701,26243614,1400478946612,RANKED_SOLO_5x5,1,5,15,0,0,0,0,3,2,23,11,26167,4226,3912,18028,32366,3938,18211,10215,123,9151,1016,5331,2802,9649,9580,54,0,0,0,0,0,0,0,0,12,BOTTOM,DUO_SUPPORT,0,1,0,0,1,1,7,1,1,1,45509869,26243614,49070264,31137098,21794802,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,45509869,49070264,31137098,21794802,1,1,15,0,30600000,0.3541666667,1.0625,0,1399686578121,792368491,9.1709316088,27.5127948264,0.0386183958,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,15,-7096860509,,,,,3.2
5038,72a635dddf50f450b7e3eb23584821b4,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1387396360,26243614,1400528478281,RANKED_SOLO_5x5,5,6,3,0,0,0,0,2,0,8,0,21745,647,2591,18506,168405,21165,20927,126312,323,8434,1746,243,6443,10991,9945,84,2,0,0,0,0,0,0,0,11,JUNGLE,NONE,0,0,1,0,0,0,5,0,0,0,22756901,22745201,31997073,34261522,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,22756901,22745201,31997073,34261522,1,1,16,0,32640000,0.3777777778,1.1333333333,0,1399686578121,841900160,9.7442148148,29.2326444444,0.0387694427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,16,-7047328840,,,,,1.3333333333
4672,6a51a0a7d587ee27d698fa11e0855144,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1387407044,26243614,1400530789885,RANKED_SOLO_5x5,6,2,3,0,0,0,0,0,0,10,0,23045,1132,2852,19060,144580,10376,20915,113289,555,9548,192,489,8866,11182,11075,56,1,0,0,0,0,0,0,0,23,JUNGLE,NONE,1,1,1,1,1,0,10,2,3,0,21753322,26243614,23245123,20903940,22860658,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,1,4320,21753322,23245123,20903940,22860658,1,1,17,0,34680000,0.4013888889,1.2041666667,0,1399686578121,844211764,9.7709694907,29.3129084722,0.0410797403,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,17,-7045017236,,,,,4.5
9275,d5420563c2b68e9e36cb62843057deff,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1387454898,26243614,1400533408035,RANKED_SOLO_5x5,3,9,5,0,0,0,0,1,0,8,0,36080,514,14494,21072,154253,816,92328,61109,251,21219,816,11948,8454,12666,12545,230,2,0,0,0,0,0,0,0,102,TOP,SOLO,0,1,1,0,0,1,5,0,2,1,19726606,22855249,26243614,37794723,40027548,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,2,4310,19726606,22855249,37794723,40027548,1,1,18,0,36720000,0.425,1.275,0,1399686578121,846829914,9.8012721528,29.4038164583,0.0433617181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,18,-7042399086,,,,,0.8888888889
5480,7cb493b97636d3735ef52c319f2c64e0,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1387478882,26243614,1400536231680,RANKED_SOLO_5x5,3,9,1,1,0,0,0,0,0,4,0,23500,1059,7724,14717,73186,270,69280,3636,99,7390,270,7001,118,7439,7485,129,0,0,0,0,0,0,0,0,27,TOP,SOLO,0,0,0,0,0,0,1,0,0,0,39963960,40027548,26243614,37794723,47847303,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,2,4310,39963960,40027548,37794723,47847303,1,1,19,0,38760000,0.4486111111,1.3458333333,0,1399686578121,849653559,9.8339532292,29.5018596875,0.0456185931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19,-7039575441,,,,,0.4444444444
4860,6ed25968f0b8d7faff281133e7fafc7f,TEAM-0012f320-5a7a-11e5-bc58-c81f66dcfb5a,1387542680,26243614,1400538295131,RANKED_SOLO_5x5,1,6,5,0,0,0,0,0,0,8,0,17622,972,2847,13803,116720,354,106543,9823,287,20376,354,19008,1014,9195,9015,193,0,0,0,0,0,0,0,0,101,TOP,SOLO,0,0,0,0,0,0,1,0,0,0,25302538,32532990,25410361,20394693,26243614,40532886,31307983,48565039,25279066,31995521,26243614,50879700,30601794,21269208,0,4,3210,25302538,32532990,25410361,20394693,1,1,20,0,40800000,0.4722222222,1.4166666667,0,1399686578121,851717010,9.8578357639,29.5735072917,0.0479032349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,20,-7037511990,,,,,1
